recipe_id,servings,prep_min,cook_min,stnd_min
214,10,20,8,305
215,4,5,2,65
216,8,5,13,0
217,4,10,0,0
218,6,10,5,0
219,8,10,30,60
220,12,6,0,0
226,16,20,45,20
227,4,15,10,0
228,12,10,20,60
229,16,15,10,155
230,8,10,55,180
231,32,15,10,20
232,12,30,40,10
473,4,3,8,0
474,1,10,0,0
477,6,15,30,120
501,2,10,0,0
233,4,5,30,0
234,4,15,35,60
235,8,40,50,0
236,6,25,60,30
237,12,10,15,20
221,8,20,5,240
222,6,15,5,80
245,4,10,30,240
416,1,5,0,0
431,6,30,0,60
223,10,10,0,300
224,6,10,25,0
225,4,10,20,0
238,24,20,9,15
239,6,15,30,135
240,4,15,15,0
241,8,15,5,210
242,8,25,45,30
442,6,15,25,0
494,4,10,30,0
514,6,10,15,0
600,8,30,0,60
243,102,30,10,15
244,6,10,60,10
246,12,20,90,60
247,12,25,10,10
248,12,50,25,105
249,8,20,25,0
250,8,25,60,30
251,12,15,50,30
252,36,10,13,30
253,4,10,45,10
282,8,15,0,180
302,8,15,0,60
254,6,15,5,0
255,8,10,40,20
256,32,10,12,0
257,6,15,0,270
258,8,20,20,10
259,8,20,5,420
260,8,15,50,0
261,8,20,15,0
262,12,20,65,285
263,10,10,0,240
264,8,15,0,240
300,4,20,0,60
304,8,10,5,0
535,4,15,10,0
265,9,20,35,0
266,6,20,25,30
267,4,15,5,0
268,16,30,80,1440
269,12,50,20,30
270,48,10,10,60
271,36,10,2,60
272,6,15,50,0
273,6,10,15,0
435,5,15,0,0
461,1,5,0,0
507,4,10,30,0
508,6,5,10,0
274,4,10,10,240
275,6,20,70,90
276,4,25,35,20
277,8,20,40,0
278,8,15,40,0
279,8,20,10,270
280,8,15,3,30
281,8,15,55,0
283,6,15,10,180
426,4,15,0,0
439,16,5,0,60
499,2,5,0,0
284,6,10,35,0
285,6,10,27,0
286,4,15,0,240
287,4,10,20,30
288,6,10,10,205
289,10,20,50,60
290,8,10,10,240
291,6,15,5,255
292,12,20,15,10
293,12,20,40,10
294,4,15,5,335
418,6,10,10,0
456,8,10,0,30
460,8,10,35,0
295,8,20,5,270
296,6,20,10,80
297,6,15,60,480
298,16,15,15,240
299,6,60,20,5
301,4,15,15,275
303,12,20,60,60
305,8,15,25,105
309,6,10,10,120
427,12,5,0,0
747,4,10,0,0
775,4,5,0,0
776,4,5,0,0
780,4,10,15,0
307,16,10,55,30
308,8,10,10,240
310,10,10,50,60
311,8,15,25,10
312,8,15,10,0
417,1,5,0,0
419,6,10,13,0
420,4,15,7,120
421,4,10,15,0
422,8,5,15,120
423,7,15,0,30
424,8,10,45,0
425,4,10,18,0
441,8,30,0,90
614,6,10,20,0
654,8,10,50,0
428,4,10,10,0
429,4,60,10,0
430,6,10,6,180
432,6,20,40,0
433,4,10,4,0
434,6,5,50,0
436,9,15,10,0
437,8,15,0,60
438,8,15,75,60
440,6,15,0,80
443,4,5,18,0
485,20,10,0,30
503,8,10,25,0
506,6,15,20,0
444,2,10,3,0
445,6,15,40,0
446,6,20,60,30
447,6,15,10,15
449,18,5,60,720
450,6,30,15,0
451,6,15,20,0
452,8,15,2,60
453,6,30,0,0
454,4,10,15,0
481,4,15,15,45
489,3,10,0,0
495,8,15,0,60
455,8,10,15,0
457,6,20,10,0
458,4,10,10,60
459,6,25,20,60
463,8,10,30,0
464,1,5,25,0
465,36,10,25,0
466,1,15,70,0
467,4,5,5,90
468,12,20,55,0
469,8,15,25,0
470,8,15,22,0
575,6,20,8,0
725,4,10,3,0
737,4,2,5,0
765,4,10,0,0
789,4,2,0,0
791,4,3,0,0
792,4,3,0,0
793,4,3,0,0
797,4,3,0,0
471,32,10,45,720
472,8,20,0,0
475,9,10,25,0
476,1,30,40,0
478,4,5,30,0
479,2,5,3,0
480,4,15,30,0
482,4,10,60,10
483,3,10,0,0
484,4,10,15,0
486,24,15,25,145
487,6,20,0,120
523,6,5,20,0
567,4,15,20,0
619,8,20,10,60
488,6,20,25,0
490,4,15,0,0
492,4,10,15,0
493,4,15,5,60
496,4,5,15,90
497,5,10,9,0
500,4,10,25,0
502,4,10,10,0
504,96,20,40,240
505,4,10,8,0
509,15,20,5,360
620,6,10,0,720
727,4,10,45,0
744,4,10,0,0
746,4,15,12,0
510,8,105,15,0
511,12,15,15,60
512,6,5,30,0
513,2,15,16,0
515,20,5,7,60
516,10,15,165,0
517,4,20,120,0
518,2,10,5,0
519,4,10,10,0
520,6,20,135,0
521,4,8,12,0
568,4,20,165,0
522,14,15,50,0
524,4,15,10,0
525,6,5,40,0
526,4,5,20,0
527,6,20,15,0
528,4,20,20,0
529,4,20,0,0
530,4,10,15,0
531,8,5,15,0
532,4,20,65,0
588,4,240,180,0
612,8,720,120,0
533,14,783,300,0
534,4,15,10,0
536,8,25,180,0
537,4,35,45,0
538,6,15,60,0
539,6,15,135,0
540,4,20,15,180
541,4,40,3,0
653,10,20,0,120
690,6,15,15,0
721,4,10,60,0
728,4,10,15,0
542,12,20,95,5
543,6,250,20,0
544,8,20,15,0
545,4,20,20,0
546,6,1455,50,0
547,6,10,0,0
548,2,20,5,0
549,4,20,13,0
550,4,20,20,0
624,4,5,7,0
738,4,10,5,0
551,4,15,60,0
552,4,20,25,5
553,4,20,8,0
554,4,5,15,0
555,4,30,14,0
556,4,15,15,0
557,6,30,25,0
558,4,5,35,0
559,48,120,3,0
560,10,20,200,0
562,6,15,15,0
756,4,10,0,0
767,4,10,0,0
769,4,10,0,0
770,4,10,0,0
777,4,10,0,0
790,4,3,0,0
563,4,20,10,0
564,6,20,10,0
565,6,30,60,0
566,4,30,10,0
569,6,20,0,120
570,8,15,15,0
571,6,240,15,0
572,2,10,10,0
573,2,20,15,0
574,2,15,10,0
579,2,10,0,0
755,4,5,0,0
764,4,10,0,0
774,4,5,0,0
576,4,60,10,0
577,6,20,105,15
578,6,20,15,0
580,6,10,150,0
581,6,10,30,0
582,10,15,180,0
583,6,240,160,0
584,6,20,135,0
585,6,240,135,0
658,2,15,0,180
708,4,15,0,0
749,4,10,0,0
586,4,20,75,15
587,4,240,75,0
589,6,10,55,0
590,8,20,25,0
591,8,240,135,0
592,4,1440,20,0
593,4,10,15,0
594,8,30,15,0
595,5,30,5,0
724,4,20,8,0
752,4,5,0,0
596,4,30,12,0
597,4,70,15,0
598,4,40,10,0
599,8,30,35,5
601,8,15,120,0
602,6,20,0,60
603,4,20,0,0
604,6,40,16,0
605,4,20,42,0
647,4,15,60,0
719,4,5,60,0
736,4,3,5,0
750,4,10,0,0
606,3,15,10,0
607,6,20,20,5
608,8,30,10,0
609,10,15,30,0
610,4,10,15,0
611,8,20,120,0
613,6,10,10,0
615,6,20,5,5
616,8,10,30,0
622,6,10,0,0
665,6,20,0,60
672,6,10,8,0
617,6,10,17,0
618,4,20,20,0
621,8,10,33,0
623,8,20,0,0
625,6,10,30,0
626,4,15,30,0
627,6,15,6,0
628,2,10,10,0
629,4,15,7,0
632,6,10,0,60
652,8,15,7,0
688,6,15,20,0
630,6,10,15,0
631,4,15,60,0
633,8,20,25,0
634,4,20,50,0
635,6,20,20,0
636,6,15,20,0
637,6,140,85,0
638,8,30,0,120
639,6,15,15,0
640,6,15,11,0
716,4,15,15,0
761,4,20,0,0
766,4,5,0,0
641,6,15,30,0
642,4,20,0,0
643,4,15,0,0
644,3,15,43,120
645,4,17,60,0
646,8,25,60,0
648,4,10,17,0
649,4,15,22,60
650,6,30,35,0
651,8,20,30,0
759,4,10,0,0
762,4,5,0,0
768,4,10,0,0
772,4,5,0,0
773,4,5,0,0
655,6,10,20,0
656,6,10,21,0
657,18,10,200,0
659,6,15,25,0
660,4,20,15,60
661,6,10,25,0
662,8,140,0,120
663,6,20,70,0
664,6,20,7,0
666,4,20,40,0
667,16,25,85,0
689,4,15,0,60
720,4,15,15,0
758,4,10,0,0
668,6,10,13,0
669,8,15,3,720
670,1,15,0,60
671,8,20,20,0
673,4,0,900,2100
674,8,40,10,0
675,8,10,10,120
676,6,10,40,0
677,6,10,30,120
678,6,20,0,0
679,4,15,22,0
754,4,5,0,0
781,4,3,0,0
803,4,3,5,0
